Penalty factor, Filter rad, Objective Function, Solid-void Ratio
0.000, 1.5, 125.877826085, 1.000000
0.200, 1.5, 135.797915221, 0.178333
0.400, 1.5, 147.397332489, 0.167500
0.600, 1.5, 160.677652426, 0.167500
0.800, 1.5, 175.61934855, 0.169167
1.000, 1.5, 192.117697659, 0.174167
1.200, 1.5, 209.776037661, 0.182500
1.400, 1.5, 227.82023712, 0.202500
1.600, 1.5, 244.584808759, 0.230833
1.800, 1.5, 243.944776921, 0.469167
2.000, 1.5, 246.37321225, 0.522500
2.200, 1.5, 248.513579524, 0.550833
2.400, 1.5, 250.362664798, 0.572500
2.600, 1.5, 251.84822726, 0.590833
2.800, 1.5, 253.137272926, 0.610000
3.000, 1.5, 254.348306265, 0.623333
3.200, 1.5, 255.574831366, 0.631667
3.400, 1.5, 256.686477827, 0.639167
3.600, 1.5, 257.763057593, 0.660833
3.800, 1.5, 258.740848622, 0.668333
4.000, 1.5, 259.787897487, 0.670833
4.200, 1.5, 261.442581123, 0.676667
4.400, 1.5, 261.967542631, 0.685000
4.600, 1.5, 262.145742848, 0.689167
4.800, 1.5, 262.227238467, 0.689167
5.000, 1.5, 261.017942468, 0.688333
5.200, 1.5, 269.123326889, 0.672500
5.400, 1.5, 269.202748437, 0.675000
5.600, 1.5, 269.324957664, 0.679167
5.800, 1.5, 269.787994699, 0.677500
6.000, 1.5, 269.965773464, 0.690833
6.200, 1.5, 271.285368848, 0.703333
6.400, 1.5, 270.858998196, 0.707500
